Player, Object, Duration, Time
Player 1, Player, 0:644, 04.08.2022 18:24:33
Player 1, Player, 0:64, 04.08.2022 18:24:36
Player 2, Player, 0:5, 04.08.2022 18:24:39
Player 2, Player, 0:7, 04.08.2022 18:24:39
Player 2, Player, 0:916, 04.08.2022 18:24:40
Player 2, Player, 0:249, 04.08.2022 18:24:40
Player 2, Window, 0:261, 04.08.2022 18:24:42
Player 2, Player, 0:621, 04.08.2022 18:24:46
Player 1, Player, 0:232, 04.08.2022 18:24:49
Player 2, Player, 1:361, 04.08.2022 18:24:51
Player 1, Player, 0:164, 04.08.2022 18:24:52
Player 2, Player, 0:130, 04.08.2022 18:24:53
Player 2, Player, 0:454, 04.08.2022 18:24:54
Player 2, Player, 0:236, 04.08.2022 18:24:55
Player 1, Player, 0:179, 04.08.2022 18:24:56
Player 1, Player, 0:295, 04.08.2022 18:24:57
Player 2, Window, 0:48, 04.08.2022 18:24:57
Player 1, Picture, 0:76, 04.08.2022 18:24:58
Player 1, Picture, 0:63, 04.08.2022 18:24:59
